"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"254","CHAT",0.827,0.204,1.999,0.471,0.289,0.108,254,0.96657624451305
"255","ZNF479",0.762,0.223,1.768,0.483,0.289,0.109,255,0.962573502059376
"256","DACOR1",0.632,0.264,2.18,0.472,0.289,0.109,256,0.962573502059376
"257","PRDM14",0.807,0.21,1.546,0.488,0.291,0.111,257,0.954677021213343
"258","TAL1",0.384,0.35,1.065,0.526,0.294,0.114,258,0.943095148663527
"259","STAT1",0.931,0.176,0.203,0.532,0.295,0.115,259,0.939302159646388
"260","KMT2B",0.852,0.197,1.326,0.492,0.295,0.116,260,0.935542010773082
"261","RCOR1",0.666,0.253,1.369,0.499,0.298,0.119,261,0.924453038607469
"262","CBX6",0.93,0.176,0.925,0.503,0.298,0.119,262,0.924453038607469
"263","ZSCAN20",0.959,0.169,1.542,0.476,0.298,0.12,263,0.920818753952375
"264","EMX1",1.238,0.108,0.237,0.51,0.3,0.122,264,0.913640169325252
"265","FLI1",0.803,0.211,0.517,0.52,0.301,0.123,265,0.910094888560602
"266","ZBTB17",0.733,0.232,1.116,0.503,0.303,0.125,266,0.903089986991944
"267","NIPBL",0.416,0.339,-0.095,0.633,0.304,0.126,267,0.899629454882437
"268","SRCAP",0.606,0.272,2.085,0.47,0.304,0.127,268,0.896196279044043
"269","ZNF317",0.493,0.311,1.757,0.486,0.306,0.128,269,0.892790030352132
"270","PBX3",0.557,0.289,0.827,0.519,0.306,0.129,270,0.889410289700751
"271","ZNF680",0.57,0.284,1.852,0.476,0.308,0.132,271,0.87942606879415
"272","ZNF534",0.863,0.194,1.109,0.493,0.308,0.132,272,0.87942606879415
"273","MAFG",0.782,0.217,1.826,0.467,0.31,0.133,273,0.876148359032914
"274","CREBBP",0.53,0.298,0.881,0.517,0.31,0.134,274,0.872895201635192
"275","WT1",0.945,0.172,1.147,0.483,0.311,0.136,275,0.866461091629782
"276","ZNF335",1.185,0.118,0.434,0.497,0.315,0.141,276,0.85078088734462
"277","MAX",1.107,0.134,-0.615,0.547,0.316,0.142,277,0.847711655616944
"278","ZBTB6",1.013,0.156,0.891,0.489,0.317,0.143,278,0.844663962534938
"279","ZNF585A",0.645,0.26,1.762,0.473,0.317,0.144,279,0.84163750790475
"280","ZNF341",1.27,0.102,0.431,0.49,0.318,0.144,280,0.84163750790475
"281","GFI1B",0.7,0.242,1.817,0.467,0.319,0.146,281,0.835647144215563
"282","MYNN",0.719,0.236,1.42,0.477,0.324,0.152,282,0.818156412055227
"283","SMARCE1",0.406,0.342,1.297,0.495,0.325,0.155,283,0.809668301829709
"284","GATA1",0.423,0.336,0.943,0.507,0.326,0.157,284,0.804100347590766
"285","FOS",0.646,0.259,0.817,0.503,0.327,0.158,285,0.801342913045577
"286","SMARCB1",0.886,0.188,0.1,0.515,0.328,0.159,286,0.798602875679548
"287","INTS3",0.631,0.264,1.574,0.472,0.329,0.16,287,0.795880017344075
"288","KDM6B",0.877,0.19,0.821,0.489,0.33,0.161,288,0.79317412396815
"289","CHD8",0.467,0.32,1.091,0.498,0.33,0.161,289,0.79317412396815
"290","HIF1A",0.412,0.34,1.568,0.481,0.33,0.161,290,0.79317412396815
"291","BATF",0.109,0.457,0.272,0.561,0.33,0.161,291,0.79317412396815
"292","ZNF394",0.993,0.16,0.856,0.482,0.331,0.163,292,0.787812395596042
"293","ZNF28",0.707,0.24,1.307,0.478,0.331,0.163,293,0.787812395596042
"294","ATF2",0.368,0.356,0.733,0.517,0.331,0.164,294,0.785156151952302
"295","VDR",0.75,0.227,0.332,0.51,0.334,0.167,295,0.777283528852417
"296","SS18",0.622,0.267,0.746,0.503,0.335,0.17,296,0.769551078621726
"297","MYF5",0.665,0.253,1.383,0.474,0.335,0.17,297,0.769551078621726
"298","LANA",0.675,0.25,-0.07,0.527,0.34,0.177,298,0.752026733638193
"299","LYL1",0.805,0.211,0.949,0.48,0.342,0.179,299,0.747146969020107
"300","ZNF768",0.568,0.285,1.571,0.467,0.342,0.18,300,0.744727494896694
"301","ZSCAN16",0.26,0.398,0.714,0.516,0.344,0.184,301,0.735182176990464
"302","PAX6",0.331,0.371,1.658,0.473,0.345,0.184,302,0.735182176990464
"303","KLF3",0.735,0.231,1.007,0.48,0.345,0.184,303,0.735182176990464
"304","LIN9",0.65,0.258,1.288,0.473,0.345,0.185,304,0.732828271596986
